,PE,ROE,Sector
NVDA,32.903522,1.14288,Technology
NVR,14.727485,0.33257,Consumer Cyclical
NXPI,31.834452,0.25812998,Technology
ORLY,29.273617,,Consumer Cyclical
OXY,77.64864,0.04053,Energy
ODFL,45.221294,0.23331,Industrials
OMC,,0.02015,Communication Services
ON,93.382355,0.074939996,Technology
OKE,16.121212,0.15903,Energy
ORCL,34.598568,0.57572,Technology
OTIS,19.343086,,Industrials
PCAR,23.831917,0.13108,Industrials
PKG,26.51335,0.16313,Consumer Cyclical
PLTR,153.48315,0.32587,Technology
PANW,142.63889,0.16259001,Technology
PSKY,345.66666,-0.0076800003,Communication Services
PH,32.054283,0.24841999,Industrials
PAYX,20.927153,,Technology
PYPL,8.285178,0.25120002,Financial Services
PNR,18.477386,0.1761,Industrials
PEP,22.869701,0.43879002,Consumer Defensive
PFE,19.732826,0.083100006,Healthcare
PCG,12.7286825,0.08826999,Utilities
PM,25.567606,,Consumer Defensive
PSX,17.181818,0.14547,Energy
PNW,19.184702,0.09559,Utilities
PNC,12.83779,0.12104,Financial Services
POOL,16.74472,0.34241,Industrials
PPG,15.69341,0.20748,Basic Materials
PPL,22.159508,0.08316,Utilities
PFG,15.022956,0.13385999,Financial Services
PG,20.931187,0.31112,Consumer Defensive
PGR,10.110885,0.37903,Financial Services
PLD,36.919598,0.06844,Real Estate
PRU,10.568486,0.10711,Financial Services
PEG,17.714602,0.13441,Utilities
PTC,13.904031,0.344,Technology
PSA,31.453512,0.20175,Real Estate
PHM,11.407551,0.16178,Consumer Cyclical
PWR,102.088036,0.13534,Industrials
QCOM,26.7261,0.36083,Technology
DGX,21.312708,0.14538999,Healthcare
Q,52.916405,0.07481,Technology
RL,25.25,0.34664002,Consumer Cyclical
RJF,14.365439,0.17289,Financial Services
RTX,33.57786,0.11571,Industrials
O,51.188522,0.02831,Real Estate
REG,27.14433,0.08003,Real Estate
REGN,15.505009,0.14548,Healthcare
RF,11.721992,0.11895,Financial Services
RSG,29.663324,0.18346001,Industrials
RMD,20.036608,0.25246,Healthcare
RVTY,46.552887,0.03227,Healthcare
HOOD,35.96602,0.21461001,Financial Services
ROK,47.383175,0.27183,Industrials
ROL,48.77064,0.38671002,Consumer Cyclical
ROP,19.993757,0.09012,Technology
ROST,32.776535,0.38981998,Consumer Cyclical
RCL,16.343712,0.49576,Consumer Cyclical
SPGI,26.106329,0.13939999,Financial Services
CRM,22.929579,0.123959996,Technology
SNDK,54.34359,0.39297,Technology
SBAC,21.234735,,Real Estate
SLB,25.541851,0.14066,Energy
STX,80.01514,17.8797,Technology
SRE,31.139456,0.05689,Utilities
NOW,59.476192,0.1607,Technology
SHW,29.927885,0.60723,Basic Materials
SPG,14.3908205,1.1359,Real Estate
SWKS,34.75833,0.06171,Technology
SJM,,-0.20683001,Consumer Defensive
SW,54.444443,0.02113,Consumer Cyclical
SNA,19.190306,0.18202,Industrials
SOLV,9.335373,0.34794998,Healthcare
SO,24.063936,0.109910004,Utilities
LUV,28.186666,0.10062,Industrials
SWK,32.34836,0.04165,Industrials
SBUX,77.419846,,Consumer Cyclical
STT,16.109756,0.11261,Financial Services
STLD,26.876612,0.15247,Basic Materials
STE,27.238035,0.11368,Healthcare
SYK,36.22685,0.152,Healthcare
SMCI,19.526316,0.17877,Technology
SYF,7.4430647,0.2178,Financial Services
SNPS,81.98773,0.055430003,Technology
SYY,20.922222,0.81894994,Consumer Defensive
